Membership No  Date Joined  Active  
    56079      2019-9-25    no    
    26588      2019-10-8    no    
    23591      2015-7-7     no    
    80051      2019-12-24   no    
    41256      2019-2-11    no    
    89200      2017-2-16    no    
    19389      2020-9-13    no    
    56370      2017-1-11    no    
    25699      2015-11-18   no    
    78041      2016-9-3     no    
    93451      2017-10-24   no    
    35889      2015-9-19    no    
    21844      2020-1-25    no    
    93184      2017-4-7     no    
